p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.55857120026336e-110,1.74706978262941,0.415,0.268,4.67571360079007e-107,0,UNC13D
8.57902918706273e-110,0.473939139724472,0.406,0.335,2.57370875611882e-106,0,PDIA6
4.55372288627185e-109,0.729559774428737,0.6,0.459,1.36611686588155e-105,0,FYN
1.13046799140421e-107,0.581655386932949,0.555,0.439,3.39140397421262e-104,0,CHN1
4.87211379806908e-107,1.80150037699404,0.364,0.188,1.46163413942072e-103,0,PLEKHA2
1.12553690690769e-106,2.49722533156736,0.374,0.271,3.37661072072308e-103,0,PRKCD
1.65476113411134e-106,1.18964266225124,0.25,0.147,4.96428340233403e-103,0,WEE2
5.87493611654855e-106,0.329128963336037,0.316,0.2,1.76248083496456e-102,0,TTC23L
1.04920108727523e-104,1.27536875637032,0.296,0.23,3.14760326182569e-101,0,BMPR1B
5.54023734812062e-104,1.04711754458543,0.315,0.221,1.66207120443619e-100,0,PLXDC1
2.47019105248453e-103,0.52929433183091,0.272,0.196,7.41057315745359e-100,0,SPAG17
8.69544970804161e-103,0.734366740779043,0.37,0.238,2.60863491241248e-99,0,STAP1
2.28104793556501e-101,0.831887747592051,0.487,0.367,6.84314380669503e-98,0,FHOD3
5.64749999985708e-100,0.827743811167027,0.415,0.218,1.69424999995712e-96,0,PID1
7.68909440717652e-100,1.30510134492108,0.438,0.353,2.30672832215295e-96,0,FAM171B
1.48368120772278e-99,0.419219417833215,0.599,0.483,4.45104362316834e-96,0,NSG2
1.44072820609656e-98,0.961771676381108,0.427,0.284,4.32218461828969e-95,0,LPP
2.26302527829027e-96,1.90731884556808,0.378,0.198,6.78907583487081e-93,0,LAMA3
1.3626705829877e-93,7.59357498756854,0.264,0.204,4.0880117489631e-90,0,CRPPA
1.36576207953138e-93,1.90027160323409,0.515,0.389,4.09728623859414e-90,0,MASP1
8.99318656257013e-93,0.845603450861381,0.271,0.23,2.69795596877104e-89,0,CLEC18A
6.09030275952924e-92,0.622517880191567,0.38,0.297,1.82709082785877e-88,0,IFT43
3.29822929679466e-91,1.55985534226191,0.182,0.321,9.89468789038397e-88,0,BTG1
6.46505684798251e-91,2.43481504641499,0.135,0.256,1.93951705439475e-87,0,GPC4
3.39523106685684e-89,0.775609815444538,0.373,0.237,1.01856932005705e-85,0,ADCYAP1
5.14597259906818e-89,0.514126572261807,0.305,0.194,1.54379177972045e-85,0,TCERG1L
2.02135282928224e-87,0.610541840106043,0.27,0.18,6.06405848784673e-84,0,ARMC3
2.51710786328542e-87,2.91196134029571,0.269,0.27,7.55132358985626e-84,0,LRRN3
1.45379255530489e-85,6.23877810983545,0.269,0.173,4.36137766591466e-82,0,PDE5A
8.62036642255425e-85,4.34498365629101,0.25,0.214,2.58610992676628e-81,0,PCDH10
5.64486013673739e-82,0.401613140591651,0.262,0.228,1.69345804102122e-78,0,TRAF5
2.36516653247931e-81,0.44708210971685,0.345,0.282,7.09549959743793e-78,0,VRK1
6.00985094063048e-81,0.701906548640777,0.38,0.269,1.80295528218914e-77,0,MTCL1
1.78013788094577e-79,0.395930091334424,0.272,0.217,5.34041364283732e-76,0,BDNF
2.71765761435813e-77,0.393695058119405,0.409,0.307,8.15297284307439e-74,0,VPS25
5.40998345332599e-77,0.936546490651793,0.481,0.342,1.6229950359978e-73,0,PTPN4
8.06576862630451e-77,0.889321808241426,0.421,0.313,2.41973058789135e-73,0,ABHD8
9.30102090726776e-77,1.63483603584227,0.364,0.227,2.79030627218033e-73,0,VIPR1
3.72833417876346e-76,1.76915425866857,0.348,0.203,1.11850025362904e-72,0,CALB2
2.39372833690692e-75,0.773074865754785,0.319,0.19,7.18118501072077e-72,0,ANGPT1
4.34578186657503e-75,1.06953102674352,0.364,0.244,1.30373455997251e-71,0,CHST11
1.68389994620213e-74,0.498638257602597,0.322,0.173,5.05169983860638e-71,0,CHST9
4.20125346736085e-74,1.77431939690119,0.346,0.255,1.26037604020825e-70,0,TJP3
1.63637708300135e-73,0.414552046981604,0.277,0.406,4.90913124900404e-70,0,NDUFS6
3.82208388822351e-73,0.828392658324659,0.519,0.419,1.14662516646705e-69,0,KCNQ3
1.04073756089218e-72,0.942035494846627,0.335,0.209,3.12221268267653e-69,0,PLPP4
